# Sample S5c (81059)
# Tripeldot, gemessen mit QPC links unten
# Transconductance von 14 nach 12; Auf Gate hf3 gelockt mit ca. 0.00066 V bei 33Hz. V_{SD,DC}=-0.0003 V; Ca. 30mK.
# Lock-In: Sensitivity 0.005 V, 0.3s, Normal, Bandpaﬂ Q=50.
# Ithaco: Amplification 1e-09, Supression 10e-10 off, Rise Time 0.3ms.
# G11=-0.385 (Manus1); G15=-0.410 (Manus2); G06=-0.455 (Manus3); Ghf1=-0.145 (Manus04); Ghf2=-0.155 (Manus05);
# G01=-0.382 (Yoko01); G03=-0.450 (Yoko02); G13=-0.603 (Knick14); G09=-0.603 (Yoko10); 10,02,04 auf GND
# Fahre aussen Ghf4 (Yoko04); innen Ghf3 (Yoko09);
# grosses\\_diagramm\\_001; started at 2006/07/07-21:02:07
# Recorded with $Id: Measurement.pm 438 2006-05-29 10:41:09Z schroeer $
-0.4	-0.422	-5.84000000E-02	+3.10000000E-03
-0.4	-0.421	-5.79000000E-02	+4.20000000E-03
-0.4	-0.42	-4.60000000E-02	+3.10000000E-03
-0.4	-0.419	-2.53000000E-02	+1.00000000E-03
-0.4	-0.418	+7.80000000E-03	+1.00000000E-03
-0.4	-0.417	+2.69000000E-02	+0.00000000E-04
-0.4	-0.416	+2.22000000E-02	+3.10000000E-03
-0.4	-0.415	+2.12000000E-02	+4.20000000E-03
-0.4	-0.414	+4.60000000E-02	+5.20000000E-03
-0.4	-0.413	+5.38000000E-02	+1.00000000E-03
-0.4	-0.412	+2.02000000E-02	+4.20000000E-03
-0.4	-0.411	+2.38000000E-02	+4.20000000E-03
-0.4	-0.41	+6.98000000E-02	+3.10000000E-03
-0.4	-0.409	+7.39000000E-02	+3.10000000E-03
-0.4	-0.408	+7.03000000E-02	+5.20000000E-03
-0.4	-0.407	+7.34000000E-02	+3.10000000E-03
-0.4	-0.406	+5.07000000E-02	+4.20000000E-03
-0.4	-0.405	+3.72000000E-02	+4.20000000E-03
-0.4	-0.404	-6.70000000E-03	+1.00000000E-03
-0.4	-0.403	-3.62000000E-02	+5.20000000E-03
-0.4	-0.402	-4.60000000E-02	+2.10000000E-03
-0.4	-0.401	-2.95000000E-02	+4.20000000E-03
-0.4	-0.4	-1.96000000E-02	+3.10000000E-03
-0.4	-0.399	-7.49000000E-02	+6.30000000E-03
-0.4	-0.398	-9.56000000E-02	+3.10000000E-03
-0.4	-0.397	-4.45000000E-02	+6.30000000E-03
-0.4	-0.396	-3.41000000E-02	+2.10000000E-03
-0.4	-0.395	-6.31000000E-02	+6.30000000E-03
-0.4	-0.394	-3.26000000E-02	+0.00000000E-04
-0.4	-0.393	+2.17000000E-02	+3.10000000E-03
